COUNTY_ID,FYEAR,YIELD
AL_CALHOUN,2011,119.6
AL_CHEROKEE,2011,114.5
AL_CLEBURNE,2011,95.6
AL_CULLMAN,2011,129.4
AL_DE_KALB,2011,129.7
AL_JACKSON,2011,117.3
AL_MARSHALL,2011,131.7
AL_COLBERT,2011,131.3
AL_LAUDERDALE,2011,124.8
AL_LAWRENCE,2011,132.5
AL_LIMESTONE,2011,128.3
AL_MADISON,2011,147.9
AL_MORGAN,2011,113.4
AL_FAYETTE,2011,100.8
AL_PICKENS,2011,108.3
AL_RANDOLPH,2011,60.0
AL_SHELBY,2011,101.8
AL_TALLADEGA,2011,122.3
AL_TUSCALOOSA,2011,99.4
AL_BARBOUR,2011,119.6
AL_COFFEE,2011,57.0
AL_CRENSHAW,2011,84.4
AL_DALE,2011,93.6
AL_GENEVA,2011,109.3
AL_HENRY,2011,108.6
AL_HOUSTON,2011,100.0
AL_PIKE,2011,64.8
AL_DALLAS,2010,103.0
AL_ELMORE,2010,89.4
AL_PERRY,2010,97.9
AL_BALDWIN,2010,161.9
AL_BUTLER,2010,61.2
AL_CONECUH,2010,56.7
AL_ESCAMBIA,2010,99.2
AL_MONROE,2010,91.8
AL_WASHINGTON,2010,121.4
AL_CALHOUN,2010,118.3
AL_CHEROKEE,2010,65.2
AL_CULLMAN,2010,90.9
AL_DE_KALB,2010,87.0
AL_JACKSON,2010,108.0
AL_MARSHALL,2010,104.7
AL_COLBERT,2010,142.8
AL_FRANKLIN,2010,86.2
AL_LAUDERDALE,2010,126.5
AL_LAWRENCE,2010,143.0
AL_LIMESTONE,2010,144.5
AL_MADISON,2010,113.9
AL_MORGAN,2010,100.6
AL_FAYETTE,2010,98.0
AL_PICKENS,2010,117.1
AL_SHELBY,2010,88.8
AL_TALLADEGA,2010,122.6
AL_TUSCALOOSA,2010,119.0
AL_BARBOUR,2010,79.4
AL_COFFEE,2010,82.2
AL_COVINGTON,2010,121.5
AL_CRENSHAW,2010,69.4
